,提现,代扣交易退回积分,售后维权(-) AS售后维权：天猫佣金,淘宝客佣金代扣款
375844209448678,772.2,-3.85,0,-38.6
376045004907847,557,-2.78,0,-27.85
376107043862883,96.22,-0.39,0,-3.95
376130642285532,390,-1.95,0,-19.5
376345488234539,240,-1.2,0,-12
376422689538552,79,-0.34,0,-3.45
376567521287883,1264,-6.32,0,-63.2
376583800493502,190,-0.95,0,-9.5
376630202745125,90,-0.4,0,-4
376837847281372,328,-1.64,0,-16.4
377388888575199,138.88,-0.7,0,-7
377482489563595,129.95,-0.6,0,-6.1
377495089087959,378,-1.89,0,-18.9
377573364863056,309,-1.49,0,-14.95
377685203376867,244.03,-0.23,0,-11.8
377897004859420,857.09,-4.32,0,-43.2
377930769249420,0.1,0,0,0
377944368604862,4398,-4.39,0,-87.96
378177362267960,130,-0.6,0,-6
378186247206770,105.15,-0.49,0,-4.9
378240961065528,190,-0.9,0,-9
378368322489086,298,-1.49,0,-14.9
378427366803528,1287.62,-1.29,0,-25.96
378473642738051,112.14,-0.42,0,-4.35
378534006135711,129,-0.11,0,-5.95
378703369138786,197.41,-0.99,0,-9.95
378904321879999,149,-0.74,0,-7.45
379025044854719,52,-0.22,0,-2.2
379103680431070,140,-0.7,0,-7
379134087481018,368,-1.84,0,-18.4
379144365615202,340,-1.7,0,-17
379368000044735,151.78,-0.76,0,-7.65
379452847827582,246.02,-1.24,0,-12.4
379797646378755,258,-1.2,0,-12
380125724376770,105.15,-0.49,0,-4.9
380133207167937,3184.32,-3.09,0,-61.8
380507602708877,308,-1.54,0,-15.4
380623209183201,328,-1.64,0,-16.4
380812763448118,268,-1.34,0,-13.4
380890242125115,20,0,0,0
381036608181838,70,-0.3,0,-3
381043327693766,328,-1.64,0,-16.4
381047646943485,295.62,-1.49,0,-14.9
381286642240406,15,0,0,0
381540767051489,106.14,-0.49,0,-4.95
381610324530780,5,-0.02,0,0
381675201918256,69,-0.29,0,-2.95
381749327828979,124,-0.55,0,-5.5
381948649985163,84.1,-0.37,0,-3.7
381953646390321,68,0,0,-1.36
382075280409679,425.59,-2.14,0,-21.45
382154522513175,1129.89,-1.09,0,-21.98
382258208696228,143,-0.71,0,-7.15
382527801572707,623.1,-3.11,0,-31.15
382590409194010,119.04,-0.55,0,-5.5
382702409904691,590.1,-2.95,0,-29.5
382853841793029,175,-0.75,0,-7.5
382879004113029,0.1,0,0,0
382910161083304,0.1,0,0,0
382950967293411,197.48,-0.94,0,-9.45
383069409487811,340,-1.7,0,-17
383109001484088,857.09,-4.32,0,-43.2
383385642931830,0.1,0,0,0
383447129350590,623,-3.11,0,-31.15
383859406737120,315.46,-1.59,0,-15.9
383869600664740,1070.72,-5.35,0,-53.55
383918880127917,864.2,-4.32,0,-43.2
383940127273713,299,-1.48,0,-14.96
383963566753167,326.53,-1.64,0,-16.4
384089846764740,328,-1.64,0,-16.4
384309564187200,288,-1.44,0,-14.4
384421808779742,864,-4.32,0,-43.2
384480482231819,198,-0.99,0,-9.9
384499244283809,4129,-4.12,0,-82.58
384730966693951,368,-1.84,0,-18.4
384732041806408,394.82,-1.99,0,-19.9
384814526768021,430.53,-2.17,0,-21.7
385022003116390,387.87,-1.95,0,-19.55
385051123387523,147,-0.69,0,-6.95
385083760560655,174.59,-0.88,0,-8.8
385132805577078,667,-0.65,0,-32.95
385179209224215,163,-0.74,0,-7.45
385470721071000,88.29,-0.39,0,-3.95
385659484865010,143.84,-0.72,0,-7.25
385745886766849,195,-0.97,0,-9.75
385825645037654,196.42,-0.99,0,-9.9
385881929523046,148,-0.7,0,-7
386237921040030,122.02,-0.57,0,-5.75
386313609864260,328,-1.64,0,-16.4
386422009577869,328,-1.64,0,-16.4
386448082703027,68,-0.29,0,-2.9
386520607840629,130,-0.55,0,-5.5
386736563641013,698.37,-3.51,0,-35.2
386790044547279,325.39,-1.64,0,-16.4
386852727502929,390,-1.95,0,-19.5
386876685568005,864,-4.32,0,-43.2
387008763796950,0.1,0,0,0
387099727003285,623.1,-3.11,0,-31.15
387262407459248,325.38,-1.64,0,-16.4
387617282230252,77,-0.34,0,-3.45
388042328251961,3210,-3.09,0,-61.8
388079481004394,328,-1.64,0,-16.4
388079807311620,213.28,-1.07,0,-10.75
388105485116072,3243.84,-3.09,0,-61.8
388303165853896,1698,-1.69,0,-33.96
388486967878184,328,-1.64,0,-16.4
388527689764512,195,-0.97,0,-9.75
388828282894101,132,-0.66,0,-6.6
389282001542858,132,-0.66,0,-6.6
389511888178586,328,-1.64,0,-16.4
389588169186898,165,-0.82,0,-8.25
389707087211682,89,-0.39,0,-3.95
389916367964488,145.82,-0.73,0,-7.35
389982486331216,125,-0.55,0,-5.5
390136128762834,324,-1.49,0,-14.9
390715167775701,1310,-6.49,0,-25.96
390818247382531,34,-0.13,0,-1.3
390826441190999,124,-0.62,0,-6.2
391289447919932,390,-1.95,0,-19.5
391542080912838,89.28,-0.37,0,-3.75
